INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('AE','Aeronautical Engineering','வானூர்தி பொறியியல்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('AG','Agriculture Engg.','வேளாண்மைப் பொறியியல்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('AI','Agricultural and Irrigation Engineering (SS)','வேளாண் மற்றும் நீர்ப்பாசன பொறியியல் (SS)');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('AP','Apparel Technology (SS)','அப்பாரல் தொழில்நுட்பம் (SS)');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('AR','Architecture','கட்டிடக்கலை');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('AS','Automobile Engg. (SS)','ஆட்டோமொபைல் பொறியாளர். (எஸ்.எஸ்)');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('AU','Automobile Engineering','ஆட்டோமொபைல் இன்ஜினியரிங்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('BM','Bio Medical Engineering','உயிர் மருத்துவ பொறியியல்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('BS','Bio-Technology (SS)','பயோ-டெக்னாலஜி (எஸ்எஸ்)');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('BT','Bio-Technology','உயிரி-தொழில்நுட்ப');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('BY','Bio Medical Engg. (SS)','உயிரி மருத்துவ பொறியாளர் (எஸ்.எஸ்)');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('CC','Chemical and Electro Chemical Engg. (SS)','இரசாயன மற்றும் மின் வேதியியல் பொறியியல். (எஸ்.எஸ்)');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('CE','Civil Engineering','சிவில் இன்ஜினியரிங்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('CH','Chemical Engineering','இரசாயன பொறியியல்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('CL','Chemical Engineering (SS)','இரசாயன பொறியியல் (SS)');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('CM','Computer Science and Engineering (SS)','கணினி அறிவியல் மற்றும் பொறியியல் (SS)');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('CN','Civil Engineering (SS)','சிவில் இன்ஜினியரிங் (SS)');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('CP','Civil Engg. and Planning','சிவில் பொறியியல். மற்றும் திட்டமிடல்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('CR','Ceramic Technology (SS)','பீங்கான் தொழில்நுட்பம் (SS)');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('CS','Computer Science and Engineering','கணினி அறிவியல் மற்றும் பொறியியல்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('CU','Computer Science and Communication Engg.','கணினி அறிவியல் மற்றும் தொடர்பாடல் பொறியியல்.');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('EC','Electronics and Communication Engineering','மின்னணு மற்றும் தகவல் தொடர்பு பொறியியல்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('EE','Electrical and Electronics Engineering','மின் மற்றும் மின்னணு பொறியியல்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('EI','Electronics and Instrumentation Engineering','எலெக்ட்ரானிக்ஸ் அண்ட் இன்ஸ்ட்ரூமென்டேஷன் இன்ஜினியரிங்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('EM','Electronics and Communication Engg. (SS)','எலெக்ட்ரானிக்ஸ் அண்ட் கம்யூனிகேஷன் இங்க். (எஸ்.எஸ்)');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('EN','Environmental Engg.','சுற்றுச்சூழல் பொறியியல்.');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('ES','Electrical and Electronics (Sandwich) (SS)','மின் மற்றும் எலெக்ட்ரானிக்ஸ் (சாண்ட்விச்) (SS)');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('ET','Electronics and Telecommunication Engg.','மின்னணு மற்றும் தொலை தொடர்பு பொறியியல்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('EX','Electronics and Instrumentation Engg. (SS)','எலெக்ட்ரானிக்ஸ் அண்ட் இன்ஸ்ட்ரூமென்டேஷன் இன்ஜினியரிங். (எஸ்.எஸ்)');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('EY','Elec. and Electronics Engg (SS)','தேர்தலில். மற்றும் எலக்ட்ரானிக்ஸ் எங்கு (எஸ்எஸ்)');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('FD','Food Technology','உணவு தொழில்நுட்பம்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('FS','Food Technology (SS)','உணவு தொழில்நுட்பம் (SS)');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('FT','Fashion Technology','ஃபேஷன் டெக்னாலஜி');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('FY','Fashion Technology (SS)','ஃபேஷன் டெக்னாலஜி (SS)');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('GI','Geo-Informatics','ஜியோ-தகவலியல்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('HT','Handloom and Textile Technology','கைத்தறி மற்றும் ஜவுளி தொழில்நுட்பம்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('IB','Industrial Bio-Technology','தொழில்துறை உயிர்-தொழில்நுட்பம்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('IC','Instrumentation and Control Engineering','இன்ஸ்ட்ரூமென்டேஷன் அண்ட் கண்ட்ராட் இன்ஜினியரிங்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('IE','Industrial Engineering','தொழில்துறை பொறியியல்');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('IM','Information Tech. (SS)','தகவல் தொழில்நுட்பம். (எஸ்.எஸ்)');
INSERT INTO `branch`(`id`, `branch_code`, `branch_name_en`, `branch_name_ta`) VALUES('IN','Industrial Engineering and Management','தொழிற்சாலை பொறியியல் மற்றும் மேலாண்மை');
